Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
30210.0,651.194,254.800257,151.387457,1.6831,0.80436,30507.0,196.123855,0.788608,0.990265,0.895241,0.769716,0.008434,0.001826,0.592463,0.997174,DERMASON
26989.0,603.446,209.236366,164.968662,1.26834,0.615122,27389.0,185.373844,0.724887,0.985396,0.931365,0.885954,0.007753,0.002946,0.784915,0.995539,DERMASON
79508.0,1120.351,410.471774,248.306459,1.653085,0.796279,80728.0,318.170913,0.706889,0.984888,0.795999,0.775135,0.005163,0.00115,0.600834,0.99323,BARBUNYA
47394.0,880.106,365.540272,165.751428,2.205352,0.891286,48081.0,245.649985,0.624921,0.985712,0.768888,0.672019,0.007713,0.00097,0.451609,0.995958,HOROZ
145339.0,1465.758,543.258451,342.468755,1.586301,0.776273,147256.0,430.175967,0.695958,0.986982,0.850095,0.791844,0.003738,0.000906,0.627017,0.994638,BOMBAY
39578.0,756.026,276.604589,182.562072,1.515126,0.751256,40028.0,224.482237,0.710927,0.988758,0.870142,0.811564,0.006989,0.00187,0.658636,0.997916,SIRA
34088.0,681.991,251.004246,173.360921,1.447871,0.723171,34437.0,208.331922,0.807065,0.989866,0.920988,0.829994,0.007363,0.002156,0.688889,0.997423,DERMASON
39545.0,730.923,265.870586,189.881507,1.400192,0.699954,39902.0,224.388631,0.727733,0.9882721783557826,0.930161,0.843977,0.006723,0.002104,0.712297,0.997353,DERMASON
44163.0,774.123,270.988039,207.848785,1.303775,0.641643,44646.0,237.128822,0.752402,0.989182,0.92608,0.875053,0.006136,0.002219,0.765717,0.998323,SEKER
39245.0,713.933,242.413747,206.44007,1.174257,0.524189,39588.0,223.535872,0.779134,0.991336,0.967563,0.922125,0.006177,0.002755,0.850315,0.998489,SEKER
206303.0,1734.416,666.0178,395.985947,1.681923,0.804053,207854.0,512.516476,0.817592,0.992538,0.861805,0.769524,0.003228,0.000698,0.592167,0.995979,BOMBAY
23343.0,563.168,206.940961,143.913803,1.437951,0.71859,23653.0,172.398465,0.721554,0.986894,0.924891,0.83308,0.008865,0.002634,0.694023,0.997971,DERMASON
39298.0,738.041,272.345354,184.137999,1.479029,0.736792,39849.0,223.686762,0.755266,0.986173,0.906608,0.821335,0.00693,0.001945,0.674591,0.99774,DERMASON
33060.0,669.728,250.066476,168.711323,1.482215,0.738123,33438.0,205.166516,0.794253,0.988695,0.926224,0.820448,0.007564,0.002114,0.673135,0.997731,DERMASON
37301.0,699.032,251.587462,189.098963,1.330454,0.659593,37579.0,217.929136,0.737743,0.992602,0.95926,0.866216,0.006745,0.002342,0.750331,0.99828,SEKER
50923.0,853.978,324.42221,201.713817,1.608329,0.783205,51666.0,254.631454,0.794195,0.985619,0.877466,0.784877,0.006371,0.001491,0.616032,0.990781,SIRA
39579.0,746.911,273.394358,184.630835,1.480762,0.737518,40043.0,224.485073,0.798688,0.988412,0.891532,0.821104,0.006908,0.001937,0.674211,0.998346,DERMASON
54366.0,933.319,389.946353,178.055523,2.190027,0.889664,54925.0,263.098729,0.612865,0.989822,0.784291,0.674705,0.007173,0.000917,0.455227,0.996959,HOROZ
63944.0,991.765,392.207385,208.165323,1.884115,0.847526,64716.0,285.334943,0.812916,0.988071,0.816944,0.72751,0.006134,0.00106,0.529271,0.997208,HOROZ
58531.0,972.953,343.396529,219.796149,1.562341,0.768321,60295.0,272.990813,0.684573,0.970744,0.776984,0.794973,0.005867,0.001445,0.631981,0.98737,BARBUNYA
75019.0,1108.267,394.022912,242.895151,1.622193,0.787395,76241.0,309.058502,0.744133,0.983972,0.767525,0.784367,0.005252,0.001226,0.615231,0.998024,BARBUNYA
97818.0,1209.324,466.18258,271.197732,1.718977,0.813374,99498.0,352.910393,0.698815,0.983115,0.840511,0.757022,0.004766,0.000965,0.573082,0.985115,CALI
31884.0,665.098,248.646823,163.554579,1.520268,0.753211,32244.0,201.484415,0.779179,0.988835,0.905756,0.810324,0.007798,0.002074,0.656625,0.998245,DERMASON
25929.0,597.772,224.609951,147.289407,1.524957,0.754973,26208.0,181.697078,0.703178,0.989354,0.911852,0.808945,0.008662,0.002288,0.654392,0.997919,DERMASON
47142.0,839.093,327.155058,183.953654,1.778465,0.826945,47669.0,244.996038,0.694132,0.988945,0.841391,0.748868,0.00694,0.001346,0.560804,0.997369,SIRA
46399.0,808.352,309.856765,191.246135,1.620199,0.7868,46822.0,243.057692,0.801309,0.990966,0.892313,0.78442,0.006678,0.00156,0.615314,0.996931,SIRA
41768.0,734.841,248.211989,214.344696,1.158004,0.504255,42091.0,230.609343,0.782876,0.992326,0.972001,0.929082,0.005943,0.002731,0.863194,0.999582,SEKER
50769.0,845.587,323.470155,200.558954,1.612843,0.784584,51371.0,254.246138,0.708787,0.988281,0.892261,0.785996,0.006371,0.0015,0.617789,0.996397,SIRA
68500.0,1007.14,339.416859,257.416623,1.318551,0.65178,69506.0,295.32509,0.766434,0.985526,0.848635,0.870096,0.004955,0.001752,0.757066,0.99823,BARBUNYA
42598.0,793.7559999999999,294.274185,184.986706,1.590786,0.777712,43156.0,232.889369,0.682452,0.98707,0.868297,0.791403,0.006908,0.001672,0.626318,0.996338,SIRA
32714.0,666.213,247.22449,168.627032,1.466102,0.731277,33076.0,204.090074,0.766351,0.989056,0.926227,0.825525,0.007557,0.002165,0.681492,0.999137,DERMASON
51142.0,898.882,357.519999,182.73764,1.956466,0.859506,51746.0,255.178402,0.783629,0.988328,0.795394,0.713746,0.006991,0.001119,0.509433,0.996689,HOROZ
43650.0,784.682,285.899027,197.46225,1.447867,0.723169,44743.0,235.747547,0.749035,0.975572,0.890854,0.824583,0.00655,0.001868,0.679938,0.984459,SIRA
80033.0,1100.196,395.710111,258.413187,1.531308,0.757326,81267.0,319.219643,0.80065,0.984815,0.830881,0.806701,0.004944,0.001292,0.650766,0.996523,BARBUNYA
38485.0,732.243,264.935208,185.665961,1.426946,0.71336,38984.0,221.360845,0.735331,0.9872,0.901968,0.835528,0.006884,0.00207,0.698107,0.996161,SIRA
72924.0,1041.775,389.401218,238.910124,1.629907,0.78967,73829.0,304.712521,0.725468,0.987742,0.844369,0.782516,0.00534,0.001235,0.612331,0.998042,BARBUNYA
32707.0,666.13,251.123051,166.187807,1.51108,0.7497,33029.0,204.068238,0.781866,0.990251,0.926259,0.812622,0.007678,0.002065,0.660355,0.99785,DERMASON
32143.0,658.745,243.547314,168.220268,1.447788,0.723133,32455.0,202.301109,0.778884,0.990387,0.930811,0.830644,0.007577,0.002225,0.689969,0.99893,DERMASON
39595.0,736.146,273.683299,184.932773,1.479907,0.73716,39975.0,224.530443,0.779767,0.990494,0.918168,0.820402,0.006912,0.001932,0.67306,0.996066,SIRA
